kok_notr_latin	qac_kok_bw	qac_kelime_konumu	qm_kelime_konumu	fark_qm_eksi_qac
ʾ-n-s	Ans	97	338	241
n-v-s	nws	241	0	-241
ʾ-y-y	Ayy	382	597	215
y-v-m	ywm	405	475	70
n-d-v	ndw	53	0	-53
n-d-y	—	0	53	53
ʾ-v-l	Awl	170	125	-45
ʾ-n-y	Any	36	8	-28
ʾ-d-m	—	0	25	25
ṭ-m-ʾ-n	—	0	13	13
ṭ-m-n	Tmn	13	0	-13
m-s-ḥ	msH	4	15	11
m-d-n	mdn	17	27	10
h-v-d	hwd	21	30	9
ʾ-v-n	—	0	8	8
ḥ-m-d	Hmd	63	68	5
ḥ-y-y	Hyy	184	189	5
b-r-z-ḫ	—	0	3	3
s-b-ʾ	—	0	2	2
l-m-m	lmm	4	2	-2
h-l-m	—	0	2	2
b-r-q	brq	6	7	1
c-v-d	jwd	1	2	1
r-m-ż	—	0	1	1
z-r-b	—	0	1	1
ʿ-r-f	Erf	70	71	1
ʿ-z-z	Ezz	119	120	1
ʿ-v-n	Ewn	11	12	1
q-r-ş	—	0	1	1
m-r-v	—	0	1	1
m-ʿ-n	mEn	1	0	-1
m-n-y	mny	21	22	1
n-m-r-q	—	0	1	1
h-ʾ-ʾ	—	0	1	1
