pos,word_occurrences,ayah_count,surah_count
N,25135,5979,114
V,19356,5551,114
P,7679,3925,110
PN,3911,2464,92
REL,3575,2465,105
PRON,3301,2359,103
NEG,2688,1893,102
ACC,2283,1929,99
ADJ,1961,1633,98
T,1166,1012,100
DEM,1059,964,88
COND,1049,866,81
CONJ,756,619,83
SUB,684,583,77
LOC,669,565,79
RES,558,511,68
INTG,439,405,83
CERT,414,396,66
PRO,332,289,61
PREV,162,150,57
RET,122,116,51
EXP,104,99,24
INC,90,83,31
EXL,66,57,31
AMD,65,65,31
INT,47,46,26
FUT,42,42,24
ANS,40,40,24
EXH,40,40,23
SUR,35,35,20
AVR,33,33,15
INL,30,30,29
SUP,21,21,11
IMPN,2,2,2
