surah,ayah,tanzil_word_count,qac_word_count,delta_tanzil_minus_qac,status,qac_to_tanzil_word_offset
1,1,4,4,0,count_match,0
1,2,4,4,0,count_match,0
1,3,2,2,0,count_match,0
1,4,3,3,0,count_match,0
1,5,4,4,0,count_match,0
1,6,3,3,0,count_match,0
1,7,9,9,0,count_match,0
2,1,5,1,4,basmala_offset,4
2,2,7,7,0,count_match,0
2,3,8,8,0,count_match,0
2,4,12,12,0,count_match,0
2,5,8,8,0,count_match,0
2,6,11,11,0,count_match,0
2,7,12,12,0,count_match,0
2,8,11,11,0,count_match,0
2,9,10,10,0,count_match,0
2,10,12,12,0,count_match,0
2,11,11,11,0,count_match,0
2,12,7,7,0,count_match,0
2,13,19,19,0,count_match,0
2,14,16,16,0,count_match,0
2,15,7,7,0,count_match,0
2,16,11,11,0,count_match,0
2,17,17,17,0,count_match,0
2,18,6,6,0,count_match,0
2,19,19,19,0,count_match,0
2,20,25,25,0,count_match,0
2,21,11,11,0,count_match,0
2,22,23,23,0,count_match,0
2,23,20,20,0,count_match,0
2,24,13,13,0,count_match,0
2,25,34,34,0,count_match,0
2,26,39,39,0,count_match,0
2,27,20,20,0,count_match,0
2,28,13,13,0,count_match,0
2,29,19,19,0,count_match,0
2,30,28,28,0,count_match,0
2,31,15,15,0,count_match,0
2,32,12,12,0,count_match,0
2,33,22,22,0,count_match,0
2,34,13,13,0,count_match,0
2,35,18,18,0,count_match,0
2,36,19,19,0,count_match,0
2,37,11,11,0,count_match,0
2,38,17,17,0,count_match,0
2,39,10,10,0,count_match,0
2,40,13,13,0,count_match,0
2,41,18,18,0,count_match,0
2,42,8,8,0,count_match,0
2,43,7,7,0,count_match,0
2,44,10,10,0,count_match,0
2,45,8,8,0,count_match,0
2,46,8,8,0,count_match,0
2,47,11,11,0,count_match,0
2,48,19,19,0,count_match,0
2,49,18,18,0,count_match,0
2,50,10,10,0,count_match,0
2,51,12,12,0,count_match,0
2,52,8,8,0,count_match,0
2,53,7,7,0,count_match,0
2,54,26,26,0,count_match,0
2,55,14,14,0,count_match,0
2,56,7,7,0,count_match,0
2,57,18,18,0,count_match,0
2,58,20,20,0,count_match,0
2,59,18,18,0,count_match,0
2,60,28,28,0,count_match,0
2,61,59,59,0,count_match,0
2,62,24,24,0,count_match,0
2,63,15,15,0,count_match,0
2,64,13,13,0,count_match,0
2,65,12,12,0,count_match,0
2,66,9,9,0,count_match,0
2,67,20,20,0,count_match,0
2,68,23,23,0,count_match,0
2,69,18,18,0,count_match,0
2,70,17,17,0,count_match,0
2,71,24,24,0,count_match,0
2,72,10,10,0,count_match,0
2,73,11,11,0,count_match,0
2,74,37,37,0,count_match,0
2,75,19,19,0,count_match,0
2,76,23,23,0,count_match,0
2,77,9,9,0,count_match,0
2,78,11,11,0,count_match,0
2,79,24,24,0,count_match,0
2,80,23,23,0,count_match,0
2,81,13,13,0,count_match,0
2,82,10,10,0,count_match,0
2,83,29,29,0,count_match,0
2,84,15,15,0,count_match,0
2,85,49,49,0,count_match,0
2,86,13,13,0,count_match,0
2,87,28,28,0,count_match,0
2,88,10,10,0,count_match,0
2,89,26,26,0,count_match,0
2,90,27,27,0,count_match,0
2,91,30,30,0,count_match,0
2,92,11,11,0,count_match,0
2,93,27,27,0,count_match,0
2,94,17,17,0,count_match,0
2,95,9,9,0,count_match,0
2,96,25,25,0,count_match,0
2,97,18,18,0,count_match,0
2,98,12,12,0,count_match,0
2,99,10,10,0,count_match,0
2,100,10,10,0,count_match,0
2,101,22,22,0,count_match,0
2,102,74,74,0,count_match,0
2,103,12,12,0,count_match,0
2,104,12,12,0,count_match,0
2,105,25,25,0,count_match,0
2,106,19,19,0,count_match,0
2,107,17,17,0,count_match,0
2,108,18,18,0,count_match,0
2,109,33,33,0,count_match,0
2,110,17,17,0,count_match,0
2,111,18,18,0,count_match,0
2,112,17,17,0,count_match,0
2,113,31,31,0,count_match,0
2,114,30,30,0,count_match,0
2,115,12,12,0,count_match,0
2,116,14,14,0,count_match,0
2,117,11,11,0,count_match,0
2,118,24,24,0,count_match,0
2,119,10,10,0,count_match,0
2,120,31,31,0,count_match,0
2,121,15,15,0,count_match,0
2,122,11,11,0,count_match,0
2,123,18,18,0,count_match,0
2,124,19,19,0,count_match,0
2,125,22,22,0,count_match,0
2,126,30,30,0,count_match,0
2,127,14,14,0,count_match,0
2,128,17,17,0,count_match,0
2,129,16,16,0,count_match,0
2,130,18,18,0,count_match,0
2,131,9,9,0,count_match,0
2,132,16,16,0,count_match,0
2,133,27,27,0,count_match,0
2,134,15,15,0,count_match,0
2,135,15,15,0,count_match,0
2,136,31,31,0,count_match,0
2,137,19,19,0,count_match,0
2,138,10,10,0,count_match,0
2,139,14,14,0,count_match,0
2,140,30,30,0,count_match,0
2,141,15,15,0,count_match,0
2,142,21,21,0,count_match,0
2,143,45,45,0,count_match,0
2,144,34,34,0,count_match,0
2,145,32,32,0,count_match,0
2,146,14,14,0,count_match,0
2,147,7,7,0,count_match,0
2,148,19,19,0,count_match,0
2,149,17,17,0,count_match,0
2,150,31,31,0,count_match,0
2,151,17,17,0,count_match,0
2,152,6,6,0,count_match,0
2,153,10,10,0,count_match,0
2,154,13,13,0,count_match,0
2,155,12,12,0,count_match,0
2,156,10,10,0,count_match,0
2,157,9,9,0,count_match,0
2,158,24,24,0,count_match,0
2,159,20,20,0,count_match,0
2,160,11,11,0,count_match,0
2,161,13,13,0,count_match,0
2,162,9,9,0,count_match,0
2,163,9,9,0,count_match,0
2,164,43,43,0,count_match,0
2,165,31,31,0,count_match,0
2,166,12,12,0,count_match,0
2,167,23,23,0,count_match,0
2,168,16,16,0,count_match,0
2,169,11,11,0,count_match,0
2,170,22,22,0,count_match,0
2,171,18,18,0,count_match,0
2,172,14,14,0,count_match,0
2,173,25,25,0,count_match,0
2,174,29,29,0,count_match,0
2,175,11,11,0,count_match,0
2,176,14,14,0,count_match,0
2,177,51,51,0,count_match,0
2,178,37,37,0,count_match,0
2,179,8,8,0,count_match,0
2,180,16,16,0,count_match,0
2,181,14,13,1,tokenization_difference,
2,182,16,16,0,count_match,0
2,183,14,14,0,count_match,0
2,184,32,32,0,count_match,0
2,185,44,44,0,count_match,0
2,186,17,17,0,count_match,0
2,187,65,65,0,count_match,0
2,188,17,17,0,count_match,0
2,189,27,27,0,count_match,0
2,190,13,13,0,count_match,0
2,191,25,25,0,count_match,0
2,192,6,6,0,count_match,0
2,193,15,15,0,count_match,0
2,194,22,22,0,count_match,0
2,195,14,14,0,count_match,0
2,196,73,73,0,count_match,0
2,197,29,29,0,count_match,0
2,198,26,26,0,count_match,0
2,199,12,12,0,count_match,0
2,200,24,24,0,count_match,0
2,201,14,14,0,count_match,0
2,202,8,8,0,count_match,0
2,203,25,25,0,count_match,0
2,204,17,17,0,count_match,0
2,205,14,14,0,count_match,0
2,206,12,12,0,count_match,0
2,207,11,11,0,count_match,0
2,208,15,15,0,count_match,0
2,209,12,12,0,count_match,0
2,210,17,17,0,count_match,0
2,211,20,20,0,count_match,0
2,212,20,20,0,count_match,0
2,213,49,49,0,count_match,0
2,214,30,30,0,count_match,0
2,215,22,22,0,count_match,0
2,216,25,25,0,count_match,0
2,217,57,57,0,count_match,0
2,218,16,16,0,count_match,0
2,219,26,26,0,count_match,0
2,220,26,26,0,count_match,0
2,221,39,39,0,count_match,0
2,222,27,27,0,count_match,0
2,223,16,16,0,count_match,0
2,224,14,14,0,count_match,0
2,225,14,14,0,count_match,0
2,226,13,13,0,count_match,0
2,227,7,7,0,count_match,0
2,228,40,40,0,count_match,0
2,229,46,46,0,count_match,0
2,230,30,30,0,count_match,0
2,231,45,45,0,count_match,0
2,232,33,33,0,count_match,0
2,233,64,64,0,count_match,0
2,234,25,25,0,count_match,0
2,235,47,47,0,count_match,0
2,236,25,25,0,count_match,0
2,237,35,35,0,count_match,0
2,238,8,8,0,count_match,0
2,239,15,15,0,count_match,0
2,240,27,27,0,count_match,0
2,241,6,6,0,count_match,0
2,242,7,7,0,count_match,0
2,243,28,28,0,count_match,0
2,244,9,9,0,count_match,0
2,245,16,16,0,count_match,0
2,246,54,54,0,count_match,0
2,247,43,43,0,count_match,0
2,248,30,30,0,count_match,0
2,249,60,60,0,count_match,0
2,250,15,15,0,count_match,0
2,251,27,27,0,count_match,0
2,252,9,9,0,count_match,0
2,253,52,52,0,count_match,0
2,254,21,21,0,count_match,0
2,255,50,50,0,count_match,0
2,256,24,24,0,count_match,0
2,257,24,24,0,count_match,0
2,258,43,43,0,count_match,0
2,259,67,67,0,count_match,0
2,260,39,39,0,count_match,0
2,261,24,24,0,count_match,0
2,262,24,24,0,count_match,0
2,263,11,11,0,count_match,0
2,264,38,38,0,count_match,0
2,265,27,27,0,count_match,0
2,266,35,35,0,count_match,0
2,267,29,29,0,count_match,0
2,268,13,13,0,count_match,0
2,269,16,16,0,count_match,0
2,270,15,15,0,count_match,0
2,271,20,20,0,count_match,0
