entry_id	hebrew	translit	pos	definition	etym_type	etym_root	xref_bdb	xref_strong	xref_aug	xref_twot
aaa	א	ʾ			main		a.aa.aa			
aab	אֵב	ʾēb	N	freshness	sub		a.ab.ab	3		1a
aac	אָב	ʾāb	N	father	sub		a.ae.ab	1		4a
aad	אבב	ʾbb			main	אבב	a.ab.aa			1
aae	אֲבַגְתָא	ʾăbagtāʾ	Np	Abagtha			a.ab.ae	5		
aaf	אָבַד	ʾābad	V	perish	main	אבד	a.ac.aa	6		2
aag	אֹבֵד	ʾōbēd	N	destruction	sub		a.ac.ab	8		2a
aah	אֲבֵדָה	ʾăbēdâ	N	a lost thing	sub		a.ac.ac	9		2b
aai	אבדה	ʾbdh	N	Destruction	sub		a.ac.af	10		2d
aaj	אֲבַדּוֹן	ʾăbaddôn	Np	Destruction	sub		a.ac.af	11		2d
aak	אַבְדָ֑ן	ʾabdān	N	destruction	sub		a.ac.ae	12		2c
aal	אׇבְדַן	ʾobdan	N	destruction	sub		a.ac.ae	13		2c
aam	אֵ֫בֶה	ʾēbeh	N	reed	sub		a.ad.ad	16		3c
aan	אָבָה	ʾābâ	V	be willing	main	אבה	a.ad.aa	14		3
aao	אבה	ʾbh			main	אבה	a.ae.aa			4
aap	אֲבוֹי	ʾăbôy	Tj	Oh!	main		a.af.aa	17		3d
aaq	אֵבוּס	ʾēbûs	N	crib	sub		a.an.ab	18		10a
aar	אבח	ʾbḥ			main	אבח	a.ag.aa			
aas	אִבְחָה	ʾibḥâ	N	slaughter	sub		a.ag.ab	19		786b
aat	אֲבַטִּחִים	ʾăbaṭṭiḥîm	N	water-melons	sub		b.bj.ab	20		234a
aau	אֲבִי	ʾăbî	Np	Abi			a.ae.ai	21		
aav	אֲבִי גִבְעוֹן	ʾăbî gibʿôn	Np	father of Gibeon			c.al.aj	25		
aaw	אֲבִי הָעֶזְרִי	ʾăbî hāʿezrî	Ag	Abiezrite			a.ae.au	33		
aax	אֲבִיאֵל	ʾăbîʾēl	Np	Abiel			a.ae.ad	22		
aay	אֲבִיאָסָף	ʾăbîʾāsāp	Np	Abiasaph			a.ae.ae	23		
aaz	אָבִיב	ʾābîb	N	green	sub		a.ab.ac	24		1b
aba	אֲבִיגַ֫יִל	ʾăbîgayil	Np	Abigal			a.ae.af	26		
abb	אֲבִידָן	ʾăbîdān	Np	Abidan			a.ae.ag	27		
abc	אֲבִידָע	ʾăbîdāʿ	Np	Abida			a.ae.ah	28		
abd	אֲבִיָּ֫הוּ	ʾăbîyāhû	Np	Abiah			a.ae.ai	29		
abe	אֲבִיהוּא	ʾăbîhûʾ	Np	Abihu			a.ae.aj	30		
abf	אֲבִיהוּד	ʾăbîhûd	Np	Abihud			a.ae.ak	31		
abg	אֶבְיוֹן	ʾebyôn	A	in want	sub		a.ad.ab	34		3a
abh	אֲבִיּוֹנָה	ʾăbîyônâ	N	caper-berry	sub		a.ad.ac	35		3b
abi	אֲבִיחַ֫יִל	ʾăbîḥayil	Np	Abihail			a.ae.al	32		
abj	אֲבִיטוּב	ʾăbîṭûb	Np	Abitub			a.ae.am	36		
abk	אֲבִיטָ֑ל	ʾăbîṭāl	Np	Abital			a.ae.an	37		
abl	אֲבִיָּם	ʾăbîyām	Np	Abijam			a.ae.ai	38		
abm	אֲבִימָאֵל	ʾăbîmāʾēl	Np	Abimael			a.ae.ao	39		
abn	אֲבִימֶ֫לֶךְ	ʾăbîmelek	Np	Abimelech			a.ae.ap	40		
abo	אֲבִינָדָב	ʾăbînādāb	Np	Abinadab			a.ae.aq	41		
abp	אֲבִינֹ֫עַם	ʾăbînōʿam	Np	Abinoam			a.ae.ar	42		
abq	אֲבִינֵר	ʾăbînēr	Np	Abner			a.ae.as	74		
abr	אֶבְיָסָף	ʾebyāsāp	Np	Ebiasaph			a.ae.ae	43		
abs	אֲבִיעֶ֫זֶר	ʾăbîʿezer	Np	Abiezer			a.ae.at	44		
abt	אֲבִי־עַלְבוֹן	ʾăbî-ʿalbôn	Np	Abialbon			a.ae.ac	45		
abu	אַבִּיר	ʾabbîr	A	mighty	sub		a.aq.af	47		13d
abv	אָבִיר	ʾābîr	A	strong	sub		a.aq.ae	46		13c
abw	אֲבִירָם	ʾăbîrām	Np	Abiram			a.ae.av	48		
abx	אֲבִישַׁג	ʾăbîšag	Np	Abishag			a.ae.ax	49		
aby	אֲבִישׁוּעַ	ʾăbîšûaʿ	Np	Abishua			a.ae.ay	50		
abz	אֲבִישׁוּר	ʾăbîšûr	Np	Abishur			a.ae.az	51		
aca	אֲבִישַׁי	ʾăbîšay	Np	Abishai			a.ae.ba	52		
acb	אֲבִישָׁלוֹם	ʾăbîšālôm	Np	Abishalom			a.ae.bb	53		
acc	אֶבְיָתָר	ʾebyātār	Np	Abiathar			a.ae.bc	54		
acd	אָבַךְ	ʾābak	V	turn	main	אבך	a.ah.aa	55		5
ace	אֲבָל	ʾăbāl	D	nay	main	אבל	a.ak.aa	61		8
