surah,ayah,word,location,form_arabic,form_bw,lemmas_bw,lemmas_arabic,pos,context_arabic,context_locations
2,3,2,2:3:2,يُؤْمِنُونَ,yu&ominuwna,'aAmana,ءَامَنَ,V,ٱلَّذِينَ يُؤْمِنُونَ بِٱلْغَيْبِ وَيُقِيمُونَ,2:3:1 2:3:2 2:3:3 2:3:4
2,4,2,2:4:2,يُؤْمِنُونَ,yu&ominuwna,'aAmana,ءَامَنَ,V,وَٱلَّذِينَ يُؤْمِنُونَ بِمَا^ أُنزِلَ,2:4:1 2:4:2 2:4:3 2:4:4
2,6,11,2:6:11,يُؤْمِنُونَ,yu&ominuwna,'aAmana,ءَامَنَ,V,تُنذِرْهُمْ لَا يُؤْمِنُونَ,2:6:9 2:6:10 2:6:11
2,8,5,2:8:5,ءَامَنَّا,'aAman~aA,'aAmana,ءَامَنَ,V,مَن يَقُولُ ءَامَنَّا بِٱللَّهِ وَبِٱلْيَوْمِ,2:8:3 2:8:4 2:8:5 2:8:6 2:8:7
2,8,11,2:8:11,بِمُؤْمِنِينَ,bimu&ominiyna,mu&omin,مُؤْمِن,N,وَمَا هُم بِمُؤْمِنِينَ,2:8:9 2:8:10 2:8:11
2,9,4,2:9:4,ءَامَنُوا@,'aAmanuwA@,'aAmana,ءَامَنَ,V,ٱللَّهَ وَٱلَّذِينَ ءَامَنُوا@ وَمَا يَخْدَعُونَ,2:9:2 2:9:3 2:9:4 2:9:5 2:9:6
2,13,4,2:13:4,ءَامِنُوا@,'aAminuwA@,'aAmana,ءَامَنَ,V,قِيلَ لَهُمْ ءَامِنُوا@ كَمَا^ ءَامَنَ,2:13:2 2:13:3 2:13:4 2:13:5 2:13:6
2,13,6,2:13:6,ءَامَنَ,'aAmana,'aAmana,ءَامَنَ,V,ءَامِنُوا@ كَمَا^ ءَامَنَ ٱلنَّاسُ قَالُو^ا@,2:13:4 2:13:5 2:13:6 2:13:7 2:13:8
2,13,9,2:13:9,أَنُؤْمِنُ,>anu&ominu,'aAmana,ءَامَنَ,V,ٱلنَّاسُ قَالُو^ا@ أَنُؤْمِنُ كَمَا^ ءَامَنَ,2:13:7 2:13:8 2:13:9 2:13:10 2:13:11
2,13,11,2:13:11,ءَامَنَ,'aAmana,'aAmana,ءَامَنَ,V,أَنُؤْمِنُ كَمَا^ ءَامَنَ ٱلسُّفَهَا^ءُ أَلَا^,2:13:9 2:13:10 2:13:11 2:13:12 2:13:13
2,14,4,2:14:4,ءَامَنُوا@,'aAmanuwA@,'aAmana,ءَامَنَ,V,لَقُوا@ ٱلَّذِينَ ءَامَنُوا@ قَالُو^ا@ ءَامَنَّا,2:14:2 2:14:3 2:14:4 2:14:5 2:14:6
2,14,6,2:14:6,ءَامَنَّا,'aAman~aA,'aAmana,ءَامَنَ,V,ءَامَنُوا@ قَالُو^ا@ ءَامَنَّا وَإِذَا خَلَوْا@,2:14:4 2:14:5 2:14:6 2:14:7 2:14:8
2,25,3,2:25:3,ءَامَنُوا@,'aAmanuwA@,'aAmana,ءَامَنَ,V,وَبَشِّرِ ٱلَّذِينَ ءَامَنُوا@ وَعَمِلُوا@ ٱلصَّٰلِحَٰتِ,2:25:1 2:25:2 2:25:3 2:25:4 2:25:5
2,26,14,2:26:14,ءَامَنُوا@,'aAmanuwA@,'aAmana,ءَامَنَ,V,فَأَمَّا ٱلَّذِينَ ءَامَنُوا@ فَيَعْلَمُونَ أَنَّهُ,2:26:12 2:26:13 2:26:14 2:26:15 2:26:16
2,41,1,2:41:1,وَءَامِنُوا@,wa'aAminuwA@,'aAmana,ءَامَنَ,V,وَءَامِنُوا@ بِمَا^ أَنزَلْتُ,2:41:1 2:41:2 2:41:3
2,55,5,2:55:5,نُّؤْمِنَ,n~u&omina,'aAmana,ءَامَنَ,V,يَٰمُوسَىٰ لَن نُّؤْمِنَ لَكَ حَتَّىٰ,2:55:3 2:55:4 2:55:5 2:55:6 2:55:7
2,62,3,2:62:3,ءَامَنُوا@,'aAmanuwA@,'aAmana,ءَامَنَ,V,إِنَّ ٱلَّذِينَ ءَامَنُوا@ وَٱلَّذِينَ هَادُوا@,2:62:1 2:62:2 2:62:3 2:62:4 2:62:5
2,62,9,2:62:9,ءَامَنَ,'aAmana,'aAmana,ءَامَنَ,V,وَٱلصَّٰبِـ#ِينَ مَنْ ءَامَنَ بِٱللَّهِ وَٱلْيَوْمِ,2:62:7 2:62:8 2:62:9 2:62:10 2:62:11
2,75,3,2:75:3,يُؤْمِنُوا@,yu&ominuwA@,'aAmana,ءَامَنَ,V,أَفَتَطْمَعُونَ أَن يُؤْمِنُوا@ لَكُمْ وَقَدْ,2:75:1 2:75:2 2:75:3 2:75:4 2:75:5
2,76,4,2:76:4,ءَامَنُوا@,'aAmanuwA@,'aAmana,ءَامَنَ,V,لَقُوا@ ٱلَّذِينَ ءَامَنُوا@ قَالُو^ا@ ءَامَنَّا,2:76:2 2:76:3 2:76:4 2:76:5 2:76:6
2,76,6,2:76:6,ءَامَنَّا,'aAman~aA,'aAmana,ءَامَنَ,V,ءَامَنُوا@ قَالُو^ا@ ءَامَنَّا وَإِذَا خَلَا,2:76:4 2:76:5 2:76:6 2:76:7 2:76:8
2,82,2,2:82:2,ءَامَنُوا@,'aAmanuwA@,'aAmana,ءَامَنَ,V,وَٱلَّذِينَ ءَامَنُوا@ وَعَمِلُوا@ ٱلصَّٰلِحَٰتِ,2:82:1 2:82:2 2:82:3 2:82:4
2,85,23,2:85:23,أَفَتُؤْمِنُونَ,>afatu&ominuwna,'aAmana,ءَامَنَ,V,عَلَيْكُمْ إِخْرَاجُهُمْ أَفَتُؤْمِنُونَ بِبَعْضِ ٱلْكِتَٰبِ,2:85:21 2:85:22 2:85:23 2:85:24 2:85:25
2,88,10,2:88:10,يُؤْمِنُونَ,yu&ominuwna,'aAmana,ءَامَنَ,V,فَقَلِيلًا مَّا يُؤْمِنُونَ,2:88:8 2:88:9 2:88:10
