surah,ayah,word,location,verb_arabic,verb_bw,construction,next_form_arabic,next_form_bw,next_lemmas_bw,next_roots_bw,prep_evidence,context_arabic
2,3,2,2:3:2,يُؤْمِنُونَ,yu&ominuwna,bi,بِٱلْغَيْبِ,bi{logayobi,gayob,gyb,bi|P|PREFIX|bi+,ٱلَّذِينَ يُؤْمِنُونَ بِٱلْغَيْبِ وَيُقِيمُونَ ٱلصَّلَوٰةَ وَمِمَّا
2,4,2,2:4:2,يُؤْمِنُونَ,yu&ominuwna,bi,بِمَا^,bimaA^,maA,,bi|P|PREFIX|bi+,وَٱلَّذِينَ يُؤْمِنُونَ بِمَا^ أُنزِلَ إِلَيْكَ وَمَا^
2,6,11,2:6:11,يُؤْمِنُونَ,yu&ominuwna,verse_final_or_no_next,,,,,,أَمْ لَمْ تُنذِرْهُمْ لَا يُؤْمِنُونَ
2,8,5,2:8:5,ءَامَنَّا,'aAman~aA,bi,بِٱللَّهِ,bi{ll~ahi,{ll~ah,Alh,bi|P|PREFIX|bi+,وَمِنَ ٱلنَّاسِ مَن يَقُولُ ءَامَنَّا بِٱللَّهِ وَبِٱلْيَوْمِ ٱلْءَاخِرِ وَمَا
2,9,4,2:9:4,ءَامَنُوا@,'aAmanuwA@,bare_or_other,وَمَا,wamaA,maA,,,يُخَٰدِعُونَ ٱللَّهَ وَٱلَّذِينَ ءَامَنُوا@ وَمَا يَخْدَعُونَ إِلَّا^ أَنفُسَهُمْ
2,13,4,2:13:4,ءَامِنُوا@,'aAminuwA@,other_prep:k,كَمَا^,kamaA^,maA,,ka|P|PREFIX|ka+,وَإِذَا قِيلَ لَهُمْ ءَامِنُوا@ كَمَا^ ءَامَنَ ٱلنَّاسُ قَالُو^ا@
2,13,6,2:13:6,ءَامَنَ,'aAmana,bare_or_other,ٱلنَّاسُ,{ln~aAsu,n~aAs,nws,,قِيلَ لَهُمْ ءَامِنُوا@ كَمَا^ ءَامَنَ ٱلنَّاسُ قَالُو^ا@ أَنُؤْمِنُ كَمَا^
2,13,9,2:13:9,أَنُؤْمِنُ,>anu&ominu,other_prep:k,كَمَا^,kamaA^,maA,,ka|P|PREFIX|ka+,كَمَا^ ءَامَنَ ٱلنَّاسُ قَالُو^ا@ أَنُؤْمِنُ كَمَا^ ءَامَنَ ٱلسُّفَهَا^ءُ أَلَا^
2,13,11,2:13:11,ءَامَنَ,'aAmana,bare_or_other,ٱلسُّفَهَا^ءُ,{ls~ufahaA^'u,safiyh,sfh,,ٱلنَّاسُ قَالُو^ا@ أَنُؤْمِنُ كَمَا^ ءَامَنَ ٱلسُّفَهَا^ءُ أَلَا^ إِنَّهُمْ هُمُ
2,14,4,2:14:4,ءَامَنُوا@,'aAmanuwA@,bare_or_other,قَالُو^ا@,qaAluw^A@,qaAla,qwl,,وَإِذَا لَقُوا@ ٱلَّذِينَ ءَامَنُوا@ قَالُو^ا@ ءَامَنَّا وَإِذَا خَلَوْا@
2,14,6,2:14:6,ءَامَنَّا,'aAman~aA,bare_or_other,وَإِذَا,wa<i*aA,<i*aA,,,لَقُوا@ ٱلَّذِينَ ءَامَنُوا@ قَالُو^ا@ ءَامَنَّا وَإِذَا خَلَوْا@ إِلَىٰ شَيَٰطِينِهِمْ
2,25,3,2:25:3,ءَامَنُوا@,'aAmanuwA@,bare_or_other,وَعَمِلُوا@,waEamiluwA@,Eamila,Eml,,وَبَشِّرِ ٱلَّذِينَ ءَامَنُوا@ وَعَمِلُوا@ ٱلصَّٰلِحَٰتِ أَنَّ لَهُمْ
2,26,14,2:26:14,ءَامَنُوا@,'aAmanuwA@,bare_or_other,فَيَعْلَمُونَ,fayaEolamuwna,Ealima,Elm,,فَمَا فَوْقَهَا فَأَمَّا ٱلَّذِينَ ءَامَنُوا@ فَيَعْلَمُونَ أَنَّهُ ٱلْحَقُّ مِن
2,41,1,2:41:1,وَءَامِنُوا@,wa'aAminuwA@,bi,بِمَا^,bimaA^,maA,,bi|P|PREFIX|bi+,وَءَامِنُوا@ بِمَا^ أَنزَلْتُ مُصَدِّقًا لِّمَا
2,55,5,2:55:5,نُّؤْمِنَ,n~u&omina,li,لَكَ,laka,,,la|P|PREFIX|l:P+,وَإِذْ قُلْتُمْ يَٰمُوسَىٰ لَن نُّؤْمِنَ لَكَ حَتَّىٰ نَرَى ٱللَّهَ
